,words,ner_c,ner_f
0,"['in', 'editing', 'the', 'Fragments', ',', 'I', 'have', 'availed', 'myself', 'of', 'Mr', '.', 'R', '.', 'Ellis', '’', 'acute', 'remarks', 'on', 'them', 'in', 'the', 'Cambridge', 'Journal', 'of', 'Philology', ',', 'Vol', '.', 'IV', ',', 'and', 'that', 'I', 'am', 'largely', 'indebted', ',', 'as', 'every', 'editor', 'must', 'now', 'be', ',', 'to', 'the', 'edition', 'of', 'the', 'Tragic', 'Fragments', 'by', 'A', '.', 'Nauck', ',', 'Leipzig', ',', '1856', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 3, 4, 4, 4, 4, 0, 5, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 7, 0, 9, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 3, 4, 4, 4, 4, 0, 5, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 0, 9, 0, 11, 0]"
1,"['I', 'had', 'once', 'hoped', ',', 'as', 'indicated', 'in', 'a', 'former', 'writing', ',', 'to', 'give', 'here', 'some', 'general', 'account', 'of', 'previous', 'editions', 'of', 'Sophocles', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
2,"['Further', 'reflection', 'has', 'induced', 'me', 'to', 'relinquish', 'that', 'project', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,"['To', 'have', 'executed', 'it', 'on', 'any', 'considerable', 'scale', 'would', 'have', 'unduly', 'burdened', 'a', 'work', 'which', 'is', 'already', 'sufficiently', 'loaded', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,"['To', 'assign', 'to', 'Aldus', ',', 'Canter', ',', 'Turnebus', ',', 'Camerarius', ',', 'H', '.', 'Stephanus', ',', 'Capperonier', ',', 'Vauvillers', ',', 'Brunck', ',', 'Musgrave', ',', 'Erfurdt', ',', 'Hermann', ',', 'Elmsley', ',', 'Schneidewin', ',', 'and', 'a', 'host', 'of', 'names', 'only', 'less', 'distinguished', 'than', 'these', ',', 'each', 'his', 'own', 'proper', 'share', 'of', 'merit', 'and', 'of', 'blame', ',', 'would', 'be', ',', 'indeed', ',', 'a', 'work', 'demanding', 'high', 'qualities', ',', 'and', 'not', 'unworthy', 'of', 'any', 'scholars', 'ambition', '.']","[0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 2, 2, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 2, 2, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,"['But', 'for', 'myself', ',', 'I', 'feel', 'compelled', 'to', 'decline', 'it', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,"['It', 'may', 'be', 'well', ',', 'however', ',', 'to', 'indicate', 'once', 'more', 'in', 'outline', 'the', 'history', 'of', 'the', 'text', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,"['Aldus', '(', 'Venice', ',', '1502', ')', 'seems', 'to', 'have', 'depended', 'on', 'the', 'Venetian', 'MSS', '.', ',', 'the', 'most', 'legible', 'of', 'which', ',', '467', '(', 'V3', ')', ',', 'is', 'very', 'closely', 'akin', 'to', 'Paris', 'A', '.']","[1, 0, 7, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 12, 12, 0, 0, 0, 0, 0, 0, 11, 12, 12]","[7, 0, 9, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 14, 14, 14, 0, 0, 0, 0, 0, 0, 13, 14, 14]"
8,"['The', 'first', 'Juntine', 'edition', '(', 'Florence', ',', '1522', ',', 'editor', 'Antonius', 'Francinus', ')', 'follows', 'closely', 'on', 'the', 'Aldine', 'traces', ';', 'but', 'the', 'editor', 'of', 'the', 'second', 'Juntine', ',', 'who', 'is', 'said', 'to', 'have', 'been', 'Victorius,', 'appears', 'to', 'have', 'had', 'access', 'to', 'L', ';', 'and', 'the', 'Roman', 'edition', 'of', 'the', 'Scholia', '(', 'A', '.', 'D', '.', '1618', ')', 'was', 'taken', 'either', 'from', 'this', 'or', 'a', 'kindred', 'MS', '.']","[0, 0, 0, 0, 0, 7, 0, 9, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 10, 10, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 9, 0, 11, 0, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 12, 12, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,"['The', 'next', 'important', 'edition', ',', 'that', 'of', 'Turnebus', '(', 'Paris', ',', '155%', ')', ',', 'is', 'memorable', 'for', 'the', 'importance', 'attributed', 'by', 'its', 'editor', 'to', 'Paris', 'T', ',', 'the', 'Parisian', 'copy', 'of', 'the', 'recension', 'of', 'Triclinius', ',', 'with', 'his', 'Scholia', 'on', 'the', 'metres', ',', 'etc', '.']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 7, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 7, 0, 9, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 14, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
