,words,ner_c,ner_f
0,"['Der', 'Text', 'dieser', 'Ausgabe', 'ist', 'dem', 'Dindorfschen', 'ähnlicher', 'als', 'dem', 'Hermannschen', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"['Mir', 'lag', 'daran', ',', 'bei', 'aller', 'gebührenden', 'Achtung', 'vor', 'dem', 'urkundlich', 'Ueberlieferten', 'einen', 'möglichst', 'wenig', 'Anstoss', 'gebenden', ',', 'in', 'der', 'Regel', 'verständlichen', 'Text', 'zu', 'liefern', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,"['Daher', 'hat', 'manche', 'Emendation', ',', 'an', 'deren', 'unumstösslicher', 'Richtigkeit', 'sich', 'zweifeln', 'liesse', ',', 'ohne', 'Bedenken', 'Aufnahme', 'gefunden', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,"['Hoffentlich', 'wird', 'die', 'Ueberzeugung', ',', 'die', 'bei', 'mir', 'von', 'Tage', 'zu', 'Tage', 'mehr', 'sich', 'befestigt', ',', 'bald', 'immer', 'allgemeiner', 'sich', 'Geltung', 'verschaffen', ',', 'dass', 'die', 'Errklärungskünste,', 'mit', 'denen', 'man', 'bisher', 'viele', 'schwierige', 'Stellen', 'des', 'Dichters', 'heimgesucht', 'hat', '.', 'an', 'Sünden', 'alter', 'Abschreiber', 'verschwendet', 'waren', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,"['Der', 'Text', 'auch', 'des', 'Sophokles', 'ist', 'viel', 'mehr', ',', 'als', 'man', 'wohl', 'glauben', 'mag', ',', 'aber', 'oft', 'nicht', 'grob', 'gefälscht.', 'Manche', 'verstecklere', 'Schäden', 'wird', 'die', 'tiefer', 'dringende,', 'für', 'keinerlei', 'Gesichtspunkte', 'stumpfe', 'Exegese', ',', 'wie', 'sie', 'des', 'Sophokles', 'würdig', 'ist', ',', 'ans', 'Licht', 'stellen', 'und', 'damit', 'die', 'Berechtigung', 'divinatorischer', 'Kritik', 'erweitern', '.']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,"['Aber', ""'"", 'nur', 'Hand', 'in', 'Hand', 'mit', 'der', 'gewissenhaftesten', 'Hermeneutik', 'kann', 'der', 'Kritiker', 'im', 'Sophokles', 'auf', 'Erfolg', 'rechnen', ':', 'sonst', 'wird', 'er', 'nur', 'die', 'Unzahl', 'oberfiächlicher', 'Einfälle', 'vermehren', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,"['ÜUeberhaupt', 'aber', 'wird', 'grössere', 'Sicherheit', 'der', 'Sophokleischen', 'Kritik', 'erst', 'gewonnen', 'werden', 'und', 'das', 'von', 'den', 'bedeutendsten', 'Kritikern', 'befulgte', 'eklektische', 'Veriahren', 'in', 'seiner', 'Haltlosigkeit', 'hervortreten,', 'sobald', 'man', 'die', 'wirklich', 'ächten', 'Grundlagen', 'unsers', 'Textes', 'und', 'dessen', 'Schicksale', 'erforscht', 'haben', 'wird', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,"['Eine', 'lohnende', ',', 'aber', 'sehr', 'schwere', 'und', 'nach', 'den', 'vorhandenen', 'Collationen', 'nicht', 'wohl', 'lösbare', 'Aufgabe', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,"['So', 'einfach', 'steht', 'die', 'Sache', 'nicht', ',', 'wie', 'Cobet', 'meint', ',', 'dem', 'der', 'Laur', '.', 'A', 'als', 'Stammvater', 'aller', 'übrigen', 'Handschriften', 'des', 'Aeschylos', 'und', 'Sophokles', 'gilt', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 13, 14, 14, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
9,"['Das', 'kann', 'weder', 'für', 'diesen', 'noch', 'für', 'jenen', 'zugegeben', 'werden', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
