,words,ner_c,ner_f
0,"['DÉCISION', '(', 'UE', ')', '2016', '/', '456', 'DE', 'LA', 'BANQUE', 'CENTRALE', 'EUROPÉENNE', 'du', '4', 'mars', '2016', 'relative', 'aux', 'conditions', 'et', 'modalités', 'des', 'enquêtes', 'effectuées', 'par', 'l&apos;', 'Office', 'européen', 'de', 'lutte', 'antifraude', 'au', 'sein', 'de', 'la', 'Banque', 'centrale', 'européenne', 'en', 'matière', 'de', 'lutte', 'contre', 'la', 'fraude', ',', 'la', 'corruption', 'et', 'toute', 'autre', 'activité', 'illégale', 'portant', 'atteinte', 'aux', 'intérêts', 'financiers', 'de', 'l&apos;', 'Union', '(', 'BCE', '/', '2016', '/', '3', ')', '(', 'refonte', ')', 'LE', 'CONSEIL', 'DES', 'GOUVERNEURS', 'DE', 'LA', 'BANQUE', 'CENTRALE', 'EUROPÉENNE', ',', 'vu', 'le', 'traité', 'sur', 'le', 'fonctionnement', 'de', 'l&apos;', 'Union', 'européenne', ',', 'vu', 'les', 'statuts', 'du', 'Système', 'européen', 'de', 'banques', 'centrales', 'et', 'de', 'la', 'Banque', 'centrale', 'européenne', ',', 'et', 'notamment', 'leur', 'article', '12.3', ',', 'vu', 'le', 'règlement', '(', 'UE', ',', 'Euratom', ')', 'no', '883', '/', '2013', 'du', 'Parlement', 'européen', 'et', 'du', 'Conseil', 'du', '11', 'septembre', '2013', 'relatif', 'aux', 'enquêtes', 'effectuées', 'par', 'l&apos;', 'Office', 'européen', 'de', 'lutte', 'antifraude', '(', 'OLAF', ')', 'et', 'abrogeant', 'le', 'règlement', '(', 'CE', ')', 'no', '1073', '/', '1999', 'du', 'Parlement', 'européen', 'et', 'du', 'Conseil', 'ainsi', 'que', 'le', 'règlement', '(', 'Euratom', ')', 'no', '1074', '/', '1999', 'du', 'Conseil', '(', '1', ')', ',', 'et', 'notamment', 'son', 'article', '4', ',', 'paragraphes', '1', 'et', '7', ',', 'considérant', 'ce', 'qui', 'suit', ':', '(', '1', ')', 'Le', 'règlement', '(', 'UE', ',', 'Euratom', ')', 'no', '883', '/', '2013', 'prévoit', 'que', 'l&apos;', 'Office', 'européen', 'de', 'lutte', 'antifraude', '(', 'ci-après', 'l', '&apos;', '«', 'Office', '»', ')', 'ouvre', 'et', 'conduit', 'des', 'enquêtes', 'administratives', 'antifraude', '(', 'ci-après', 'les', '«', 'enquêtes', 'internes', '»', ')', 'au', 'sein', 'des', 'institutions', ',', 'des', 'organes', 'et', 'des', 'organismes', 'institués', 'par', 'les', 'traités', 'ou', 'sur', 'la', 'base', 'de', 'ceux-ci', ',', 'en', 'vue', 'de', 'lutter', 'contre', 'la', 'fraude', ',', 'la', 'corruption', 'et', 'toute', 'autre', 'activité', 'illégale', 'portant', 'atteinte', 'aux', 'intérêts', 'financiers', 'de', 'l&apos;', 'Union', '.']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 1, 2, 2, 2, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 1, 2, 2, 2, 2, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 1, 2, 0, 0, 0, 0]","['B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'T', 'T', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'n', 'n', 'B-T', 'T', 'T', 'T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'n', 'B-T', 'T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'T', 'T', 'T', 'T', 'n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'T', 'T', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n']"
1,"['À', 'cet', 'effet', ',', 'il', 'enquête', 'sur', 'les', 'faits', 'graves', ',', 'liés', 'à', 'l&apos;', 'exercice', 'd&apos;', 'activités', 'professionnelles', ',', 'constituant', 'un', 'manquement', 'aux', 'obligations', 'des', 'fonctionnaires', 'et', 'agents', 'de', 'l&apos;', 'Union', 'susceptible', 'de', 'poursuites', 'disciplinaires', ',', 'et', ',', 'le', 'cas', 'échéant', ',', 'de', 'poursuites', 'pénales', ',', 'ou', 'un', 'manquement', 'analogue', 'aux', 'obligations', 'des', 'membres', 'des', 'institutions', 'et', 'organes', ',', 'des', 'dirigeants', 'des', 'organismes', 'ou', 'des', 'membres', 'du', 'personnel', 'des', 'institutions', ',', 'organes', 'et', 'organismes', 'non', 'soumis', 'au', 'statut', 'des', 'fonctionnaires', 'de', 'l&apos;', 'Union', 'ni', 'au', 'régime', 'applicable', 'aux', 'autres', 'agents', 'de', 'l&apos;', 'Union', '(', 'ci-après', 'le', '«', 'statut', '(', '2', ')', 'Pour', 'la', 'Banque', 'centrale', 'européenne', '(', 'BCE', ')', ',', 'ces', 'devoirs', 'et', 'obligations', 'professionnels', ',', 'notamment', 'les', 'obligations', 'relatives', 'à', 'la', 'conduite', 'professionnelle', 'et', 'au', 'secret', 'professionnel', ',', 'sont', 'énoncés', 'dans', ':', 'a', ')', 'les', 'conditions', 'd&apos;', 'emploi', 'du', 'personnel', 'de', 'la', 'BCE', ';', 'b', ')', 'les', 'règles', 'applicables', 'au', 'personnel', 'de', 'la', 'BCE', ';', 'c', ')', 'l&apos;', 'annexe', 'IIb', 'des', 'conditions', 'd&apos;', 'emploi', 'concernant', 'les', 'conditions', 'd&apos;', 'emploi', 'des', 'titulaires', 'de', 'contrats', 'de', 'travail', 'de', 'courte', 'durée', ';', 'et', 'd', ')', 'les', 'règles', 'de', 'la', 'BCE', 'applicables', 'aux', 'titulaires', 'de', 'contrats', 'de', 'travail', 'de', 'courte', 'durée', ',', 'et', 'des', 'précisions', 'complémentaires', 'sont', 'données', 'dans', ':', 'e', ')', 'le', 'code', 'de', 'conduite', 'des', 'membres', 'du', 'conseil', 'des', 'gouverneurs', '(', '2', ')', ';', 'f', ')', 'le', 'code', 'complémentaire', 'd&apos;', 'éthique', 'professionnelle', 'applicable', 'aux', 'membres', 'du', 'directoire', 'de', 'la', 'BCE', '(', '3', ')', ';', 'et', 'g', ')', 'le', 'code', 'de', 'conduite', 'des', 'membres', 'du', 'conseil', 'de', 'surveillance', 'prudentielle', 'de', 'la', 'BCE', '(', '4', ')', '(', 'dénommés', 'ci-après', 'ensemble', 'les', '«', 'conditions', 'd&apos;', 'emploi', 'de', 'la', 'BCE', '»', ')', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 1, 2, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 1, 2, 2, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 1, 0, 0, 0]","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'n', 'B-T', 'T', 'T', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'n', 'n', 'B-T', 'T', 'T', 'T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'n', 'B-T', 'n', 'n', 'n']"
2,"['(', '3', ')', 'L&apos;', 'article', '4', ',', 'paragraphe', '1', ',', 'du', 'règlement', '(', 'UE', ',', 'Euratom', ')', 'no', '883', '/', '2013', 'prévoit', 'que', ',', 'dans', 'le', 'cadre', 'de', 'la', 'protection', 'des', 'intérêts', 'financiers', 'de', 'l&apos;', 'Union', 'et', 'de', 'la', 'lutte', 'contre', 'la', 'fraude', 'et', 'contre', 'toute', 'autre', 'activité', 'illégale', 'portant', 'atteinte', 'aux', 'intérêts', 'financiers', 'de', 'l&apos;', 'Union', ',', 'l&apos;', 'Office', '«', 'effectue', 'les', 'enquêtes', 'administratives', 'au', 'sein', 'des', 'institutions', ',', 'des', 'organes', 'et', 'des', 'organismes', '»', 'conformément', 'aux', 'conditions', 'prévues', 'par', 'le', 'règlement', '(', 'UE', ',', 'Euratom', ')', 'no', '883', '/', '2013', 'et', 'par', 'les', 'décisions', 'que', 'chaque', 'institution', ',', 'organe', 'ou', 'organisme', 'adopte', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'T', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
3,"['L&apos;', 'article', '4', ',', 'paragraphe', '7', ',', 'du', 'règlement', '(', 'UE', ',', 'Euratom', ')', 'no', '883', '/', '2013', 'prévoit', 'que', 'chaque', 'institution', ',', 'organe', 'et', 'organisme', 'doit', 'adopter', 'une', 'décision', 'qui', '«', 'comprend', 'notamment', 'une', 'règle', 'relative', 'à', 'l&apos;', 'obligation', ',', 'pour', 'les', 'fonctionnaires', ',', 'les', 'autres', 'agents', ',', 'les', 'membres', 'des', 'institutions', 'ou', 'des', 'organes', ',', 'les', 'dirigeants', 'd&apos;', 'organismes', 'ou', 'les', 'membres', 'du', 'personnel', 'de', 'coopérer', 'avec', 'l&apos;', 'Office', 'et', 'd&apos;', 'informer', 'ce', 'dernier', ',', 'tout', 'en', 'garantissant', 'la', 'confidentialité', 'de', 'l&apos;', 'enquête', 'interne', '»', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0]","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'T', 'n', 'n']"
4,"['Conformément', 'à', 'la', 'jurisprudence', 'de', 'l&apos;', 'Union', ',', 'l&apos;', 'Office', 'ne', 'peut', 'ouvrir', 'une', 'enquête', 'que', 'sur', 'la', 'base', 'de', 'soupçons', 'suffisamment', 'sérieux', '(', '5', ')', '.']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
5,"['(', '4', ')', 'Selon', 'le', 'considérant', '12', 'du', 'règlement', '(', 'UE', ',', 'Euratom', ')', 'no', '883', '/', '2013', ',', 'les', 'enquêtes', 'devraient', 'être', 'conduites', 'conformément', 'aux', 'traités', ',', 'et', 'notamment', 'au', 'protocole', 'no', '7', 'sur', 'les', 'privilèges', 'et', 'immunités', 'de', 'l&apos;', 'Union', 'européenne', ',', 'et', 'devraient', 'respecter', 'à', 'la', 'fois', 'le', 'statut', ',', 'les', 'droits', 'de', 'l&apos;', 'homme', 'et', 'les', 'libertés', 'fondamentales', ',', 'notamment', 'le', 'principe', 'd&apos;', 'équité', ',', 'le', 'droit', 'pour', 'les', 'personnes', 'impliquées', 'de', 's&apos;', 'exprimer', 'sur', 'les', 'faits', 'qui', 'les', 'concernent', 'et', 'le', 'principe', 'selon', 'lequel', 'seuls', 'les', 'éléments', 'ayant', 'une', 'valeur', 'probante', 'peuvent', 'fonder', 'les', 'conclusions', 'd&apos;', 'une', 'enquête', ',', 'ainsi', 'que', 'les', 'principes', 'généraux', 'communs', 'aux', 'États', 'membres', 'et', 'reconnus', 'par', 'la', 'Cour', 'de', 'justice', 'de', 'l&apos;', 'Union', 'européenne', ',', 'tels', 'que', ',', 'par', 'exemple', ',', 'la', 'confidentialité', 'de', 'la', 'consultation', 'juridique', '(', '«', 'secret', 'professionnel', '»', ')', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0]","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n']"
6,"['À', 'cet', 'effet', ',', 'les', 'institutions', ',', 'organes', 'et', 'organismes', 'devraient', 'prévoir', 'les', 'conditions', 'et', 'modalités', 'selon', 'lesquelles', 'les', 'enquêtes', 'internes', 'doivent', 'être', 'exécutées', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0]","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n']"
7,"['(', '5', ')', 'La', 'décision', 'BCE', '/', '2004', '/', '11', '(', '6', ')', 'a', 'été', 'adoptée', 'pour', 'fixer', 'les', 'conditions', 'auxquelles', 'les', 'enquêtes', 'internes', 'effectuées', 'conformément', 'au', 'règlement', '(', 'CE', ')', 'no', '1073', '/', '1999', 'du', 'Parlement', 'européen', 'et', 'du', 'Conseil', '(', '7', ')', 'devaient', 'être', 'conduites', 'au', 'sein', 'de', 'la', 'BCE', '.']","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","['n', 'n', 'n', 'n', 'B-T', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n']"
8,"['Il', 'est', 'nécessaire', 'de', 'réviser', 'le', 'cadre', 'juridique', 'actuel', 'afin', 'de', 'tenir', 'compte', 'de', 'l&apos;', 'abrogation', 'du', 'règlement', '(', 'CE', ')', 'no', '1073', '/', '1999', 'et', 'de', 'son', 'remplacement', 'par', 'le', 'règlement', '(', 'UE', ',', 'Euratom', ')', 'no', '883', '/', '2013', ',', 'ainsi', 'que', 'de', 'la', 'création', 'de', 'nouveaux', 'organes', 'au', 'sein', 'de', 'la', 'BCE', 'depuis', 'l&apos;', 'adoption', 'de', 'la', 'décision', 'BCE', '/', '2004', '/', '11', '.']","[0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]","['n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'B-T', 'n', 'n', 'n', 'n', 'n']"
9,"['(', '6', ')', 'Le', 'règlement', '(', 'UE', ')', 'no', '1024', '/', '2013', 'du', 'Conseil', '(', '8', ')', 'a', 'créé', 'le', 'conseil', 'de', 'surveillance', 'prudentielle', 'en', 'tant', 'qu&apos;', 'organe', 'interne', 'de', 'la', 'BCE', 'destiné', 'à', 'prévoir', 'età', 'exécuter', 'les', 'missions', 'spécifiques', ',', 'ayant', 'trait', 'aux', 'politiques', 'en', 'matière', 'de', 'surveillance', 'prudentielle', 'des', 'établissements', 'de', 'crédit', ',', 'confiées', 'à', 'la', 'BCE', '.']","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 1, 2, 2, 0, 0, 0, 0, 1, 0]","['n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'T', 'n', 'B-T', 'T', 'T', 'n', 'n', 'n', 'n', 'B-T', 'n']"
