,words,ner_c,ner_f
0,"['Technical', 'Description', 'and', 'Data', 'of', 'the', 'Wind', 'Turbine', 'REpower', '48', '/', '600', 'REpower', 'Systems', 'AG', ',', 'Hamburg', 'Husum', 'Rendsburg', 'Trampe', ',', 'Germany', 'Dok.-Nr.', ':', 'D-80.1-GP.SD.03-A-A-GB', 'Technical', 'Description', 'REpower', '48', '/', '600', 'Table', 'of', 'Contents', '1', 'Description', 'of', 'the', 'Wind', 'Turbine', '.............................................................................', '3', '1.1', '1.2', '1.3', '1.4', '1.5', '1.6', '1.7', '1.8', '1.9', 'Design', 'Concept', '...............................................................................................', '3', 'Rotor', '...............................................................................................................', '3', 'Gearbox', '..........................................................................................................', '3', 'Brake', 'System', '...................................................................................................', '4', 'Generator', '........................................................................................................', '4', 'Yaw', 'System', '.....................................................................................................', '4', 'Nacelle', '............................................................................................................', '5', 'Tower', '..............................................................................................................', '5', 'Corrosion', 'Protection', '........................................................................................', '5', '1.10', 'Lightning', 'Protection', '........................................................................................', '5', '1.11', 'Remote', 'Data', 'Monitoring', '.................................................................................', '6', '2', '3', '4', 'Technical', 'data', '..........................................................................................................', '7', 'Predicted', 'power', 'curve', 'of', 'REpower', '48', '/', '600', '..............................................................', '8', 'Calculated', 'annual', 'energy', 'production', '......................................................................', '9', 'Doc.-No.', ':']","['B-T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'B-T', 'n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'B-T', 'B-T', 'B-T', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'T', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'T', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n']","['B-T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'B-T', 'n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'B-T', 'B-T', 'B-T', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'T', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'T', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n']"
1,"['D-80.1-GP.SD.03-A-A-GB', '2002-09-10', 'page', '2', '/', '9', 'Technical', 'Description', 'REpower', '48', '/', '600', '1', 'Description', 'of', 'the', 'Wind', 'Turbine', '1.1', 'Design', 'Concept', 'The', '48', '/', '600', 'wind', 'turbine', ',', 'type-tested', 'by', 'Germanischer', 'Lloyd', ',', 'has', 'a', 'nominal', 'electrical', 'power', 'of', '600', 'kW', '.', 'The', 'rotor', 'diameter', 'is', '48.4', 'm', ',', 'and', 'power', 'control', 'is', 'based', 'on', 'the', '&quot;', 'stall', '&quot;', 'principle', '.']","['n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n']","['n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n']"
2,"['For', 'the', 'sake', 'of', 'smooth', 'connection', 'to', 'the', 'grid', ',', 'a', 'set', 'of', 'thyristors', 'is', 'interposed', 'between', 'the', 'mains', 'supply', 'and', 'the', 'generator', 'during', 'the', 'start', 'phase', '.']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n']"
3,"['Even', 'at', 'inland', 'sites', 'with', 'relatively', 'low', 'wind', 'speed', ',', 'the', '48', '/', '600', 'attains', 'very', 'good', 'production', 'because', 'of', 'its', 'large', 'rotor', 'and', 'correspondingly', 'high', 'tower', '.']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'n']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'n']"
4,"['1.2', 'Rotor', 'The', 'rotor', 'consists', 'of', 'three', 'blades', 'rigidly', 'flange-mounted', 'on', 'a', 'cast', 'hub', '.']","['n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'n']","['n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'n']"
5,"['The', 'overall', 'diameter', 'is', '48.4', 'm', 'giving', 'a', 'swept', 'area', 'of', '1840', 'm', '²', '.']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n']"
6,"['As', 'a', 'function', 'of', 'wind', 'speed', 'the', 'rotational', 'speed', 'is', '14', 'or', '21', 'rpm', '.']","['n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'B-T', 'n']","['n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'B-T', 'n']"
7,"['This', 'matching', 'of', 'rotational', 'speed', 'makes', 'the', '48', '/', '600', 'particularly', 'suitable', 'for', 'inland', 'locations', '.']","['n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']","['n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
8,"['The', 'material', 'of', 'the', 'blades', 'is', 'a', 'glass-fibre', 'reinforced', 'plastic', '(', 'GRP', ')', '.']","['n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'T', 'T', 'n', 'B-T', 'n', 'n']","['n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'T', 'T', 'n', 'B-T', 'n', 'n']"
9,"['Each', 'blade', 'tip', 'is', 'pivotable', 'and', 'can', 'be', 'turned', '74', 'degrees', 'to', 'the', 'main', 'blade', '.']","['n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n']","['n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n']"
