,words,ner_c,ner_f
0,"['AUSTRALIA', 'AND', 'NEW', 'ZEALAND', '.']","[1, 0, 1, 2, 0]","[1, 0, 1, 2, 0]"
1,"['NOTICE', '.']","[0, 0]","[0, 0]"
2,"['—', 'The', 'dipper', 'ships', 'of', 'this', 'line', 'are', '4111101191', 'i', 'Me', 'largest', ',', 'fastest', ',', 'and', 'handsomest', 'in', 'the', 'world', ',', 'and', 'are', 'famous', 'for', 'their', 'unswerving', 'punctuality', ',', 'the', 'superior', 'way', 'in', 'which', 'they', 'are', 'officered', 'and', 'appointed', ',', 'and', 'the', 'celebrity', 'of', 'their', 'passages', ',', 'which', 'rash', 'amongst', 'the', 'fastest', 'on', 'record', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,"['THE', '""', 'WHITE', 'STAR', '""', 'LINE', 'OF', 'British', 'and', 'Austratan', 'Ex-Royal', 'Mail', 'Clippers', ',', 'SAIL', 'from', 'LIVERPOOL', 'for', 'MELBOURNE', 'on', 'the', 'Ist', 'and', '20th', 'I', ',', '‘', 'stao', 'of', 'every', 'Month', ',', 'landing', 'and', 'forwarding', 'Passengers', 'at', 'through', 'rates', 'and', 'by', 'steamers', ',', 'to', 'every', 'port', 'of', 'Australia', 'and', 'Tasmania', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
4,"['Parties', 'holding', 'Bounty', 'tickets', 'for', 'Launceston', 'or', 'Hobart', 'Town', 'will', 'be', 'carried', 'out', 'by', 'the', 'ships', 'of', 'this', 'Line', 'via', 'Melbourne', '.']","[0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
5,"['The', 'Lice', 'is', 'composed', 'of', 'the', 'following', 'magnificent', '•', 'vessels', 'Ship', 'Ship', 'Ship', 'Morning', 'Light', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,"['Prinre', 'of', 'the', 'Seas', '.']","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
7,"['Sirocco', '.']","[0, 0]","[0, 0]"
8,"['Red', 'Jacket', '.']","[0, 0, 0]","[0, 0, 0]"
9,"['White', 'Jacket', '.']","[0, 0, 0]","[0, 0, 0]"
10,"['Star', 'of', 'the', 'East', '.']","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
11,"['White', 'star', '.']","[0, 0, 0]","[0, 0, 0]"
12,"['Mermaid', '.']","[0, 0]","[0, 0]"
13,"['Telegraph', 'Blue', 'Jaci', ',', 'et', '.']","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
14,"['Shalimar', '.']","[0, 0]","[0, 0]"
15,"['Arabian', '.']","[0, 0]","[0, 0]"
16,"['DORSET', 'COUNTY', 'CHRONICLE', 'AND', 'SOMERSETSHIRE', 'GAZETTE', '.']","[1, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0]"
17,"['[', 'Supplement—June', '27,1861', '.']","[0, 0, 0, 0]","[0, 0, 0, 0]"
