,Unnamed: 0,words,ner_c,ner_f
0,0,"['18', 'Centimes', 'ÉDITION', 'DE', 'PIHIS', 'N', '.', '2663', '.', '—', 'LUNDI', '15', 'JANVIEE', '1103', '9', ',', 'rue', 'Louis', '-', 'le', '-', 'Grand', '(', '2e', ')', 'Adr', '.', 'telég', '.', ':', 'ŒUVRE', '-', 'PARIS', 'Chèque', 'nostal', ':', 'Compte', '1046', 'GUSTAVE', 'TÉRY', 'Tééies', '(', 'Otonier', '59', '-', '96', ',', '59', '-', '57', ',', ',', '076', '-', '83', '.', 'Cent', '.', '03', '-', '15', 'Au', 'moment', 'où', 'nos', 'troupes', 'entrent', 'dans', 'la', 'Rubr', ',', 'on', 'nous', 'annonce', 'que', 'l', ""'"", 'on', 'veut', 'augmentes', 'nos', 'impôts', 'de', '20', '%', '.', 'Simple', 'coïncidence', '.']","['O', 'O', 'E', 'E', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'O', 'O', 'O', 'O', 'O', 'E', 'E', 'E', 'O', 'O', 'O', 'O', 'O', 'E', 'E', 'O', 'O', 'O', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'O', 'O', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 5, 6, 6, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 5, 6, 6, 6, 5, 6, 6, 0, 0, 5, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,1,"['A', 'LA', 'TRIBUNE', 'Glissement', 'des', 'alliances', '?', 'Tout', 'le', 'monde', 'a', 'été', 'frappé', 'du', 'con¬', 'traste', 'entre', 'la', 'première', 'et', 'la', 'seconde', 'partie', 'du', 'discours', 'de', 'M', '.', 'Poincaré', '.', 'Diffé¬', 'rence', 'de', 'ton', 'surtout', '.', 'A', 'une', 'revendica¬', 'tion', 'énergique', ',', 'péremptoire', ',', 'irréfutable', 'de', 'nos', 'droits', 'succédait', 'une', 'sorte', 'de', 'mise', 'en', 'garde', 'contre', 'les', 'espoirs', 'immo¬', 'dérés', '«', 'Surtout', 'ne', 'nous', 'excitons', 'pas', ',', 'semblait', 'dire', 'l', ""'"", 'orateur', 'gouvernemental', ',', 'ami', 'de', 'la', 'prudence', 'et', 'de', 'la', 'précision', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'E', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,2,"['Il', 'y', 'aura', 'peut', '-', 'être', 'quelque', 'déception', ':', 'le', 'rendement', 'risque', 'd', ""'"", 'être', 'modeste', ';', 'mais', 'ce', 'sera', 'toujours', 'mieux', 'que', 'rien', '.', '»', 'Ainsi', 'le', 'chef', 'de', 'notre', 'gouvernement', 'laissait', 'bien', 'l', ""'"", 'impression', 'de', 'n', ""'"", 'avoir', 'agi', 'que', 'contraint', 'et', 'forcé', 'par', 'l', ""'"", 'égoïsme', 'tatil¬', 'lon', 'de', 'la', 'Grande', '-', 'Bretagne', ',', 'qui', 'détruit', 'par', 'des', 'marchandages', 'l', ""'"", 'effet', 'de', 'ses', 'sacrifices', ',', 'et', 'par', 'l', ""'"", 'obstination', 'têtue', ',', 'exaspérante', ',', 'du', 'Reich', 'dans', 'la', 'carence', 'et', 'l', ""'"", 'inertie', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'E', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
3,3,"['Mais', 'voici', 'davantage', ':', 'M', '.', 'Poincaré', 'a', 'surtout', 'présenté', 'son', 'acte', 'comme', 'un', 'moyen', 'd', ""'"", 'acculer', 'l', ""'"", 'Allemagne', 'à', 'sortir', 'enfin', 'de', 'l', ""'"", 'ère', 'de', 'mauvais', 'vouloir', 'ou', 'd', ""'"", 'aboulie', '(', 'il', 'y', 'a', 'des', 'deux', ',', 'sans', 'doute', ')', 'où', 'elle', 'a', 'mis', 'jusqu', ""'"", 'à', 'présent', 'toutes', 'ses', 'chances', 'de', 'salut', '.', '«', 'Plutôt', 'périr', 'que', 'payer', '!', '»', ',', 'telle', 'paraît', 'être', 'sa', 'devise', '.', 'A', 'quoi', 'notre', 'président', 'du', 'Conseil', 'de', 'ré¬', 'pondre', ':', '«', 'Allons', ',', 'soyons', 'sérieux', ',', 'et', 'finissons', '-', 'en', 'avec', 'cette', 'crise', 'de', 'bouderie', '.']","['O', 'O', 'O', 'O', 'E', 'E', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,4,"['Car', 'c', ""'"", 'est', 'bouder', 'contre', 'l', ""'"", 'instinct', 'de', 'con¬', 'servation', 'même', 'que', 'de', 'raisonner', 'ainsi', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,5,"['Qui', 'donc', 'a', 'fait', 'observer', 'fort', 'subtilement', 'que', 'dans', 'l', ""'"", 'aberration', 'qui', 'pousse', 'cer¬', 'taines', 'gens', 'au', 'suicide', 'entre', 'pour', 'une', 'notable', 'part', 'le', 'désir', 'de', 'plonger', 'les', 'sur¬', 'vivants', 'dans', 'l', ""'"", 'embarras', '?', 'Par', 'sa', 'manie', 'de', 'suicide', 'économique', ',', 'l', ""'"", 'Allemagne', 'a', 'certainement', 'bien', 'gêné', 'les', 'Alliés', ',', 'elle', 'a', 'paralysé', 'leur', 'action', 'de', 'scrupules', 'ou', 'de', 'craintes', 'intéressées', ';', 'mais', 'elle', 'finira', 'par', 'devenir', 'le', 'dindon', 'de', 'la', 'farce', ',', 'plus', 'encore', 'que', 'ses', 'créanciers', 'impayés', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'O', 'O', 'O', 'O', 'O', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,6,"['Voyons', ',', 'monsieur', 'Cuno', ',', 'et', 'vous', ',', 'mon¬', 'sieur', 'Stinnes', ',', 'daignez', 'y', 'réfléchir', 'et', ',', 's', ""'"", 'il', 'vous', 'plaît', ',', 'pour', 'notre', 'commun', 'profit', ',', 'causons', '.', '»', 'Tel', 'est', ',', 'fidèlement', 'résumé', ',', 'je', 'crois', ',', 'l', ""'"", 'esprit', 'du', 'discours', 'de', 'M', '.', 'Poincaré', '.']","['O', 'O', 'E', 'E', 'O', 'O', 'O', 'O', 'E', 'E', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'E', 'E', 'O']","[0, 0, 1, 2, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0]"
7,7,"['Aussi', 'bien', ',', 'en', 'l', ""'"", 'écoutant', ',', 'ne', 'pouvais', '-', 'je', 'me', 'défendre', 'd', ""'"", 'une', 'impression', 'singu¬', 'lière', '.', 'Cette', 'invite', 'à', 'un', 'meilleur', 'esprit', ',', 'à', 'une', 'conception', 'moins', 'silencieusement', 'vindicative', 'des', 'rapports', 'entre', 'le', 'vaincu', 'et', 'son', 'principal', 'vainqueur', ',', 'n', ""'"", 'était', '-', 'elle', 'pas', 'comme', 'l', ""'"", 'amorce', 'd', ""'"", 'une', 'évolution', 'diplomatique', '—', 'oh', '!', 'très', 'discrètement', 'esquissée', '—', 'réelle', 'pourtant', 'et', ',', 'après', 'tout', ',', 'fort', 'explicable', '?', 'Car', ',', 'enfin', ',', 'établissons', 'sans', 'nous', 'payer', 'de', 'mots', 'le', 'bilan', 'de', 'la', 'courte', 'et', 'décisive', 'Conférence', 'de', 'Paris', '.', 'On', 'aper¬', 'çoit', 'tout', 'de', 'suite', 'ce', 'qu', ""'"", 'elle', 'nous', 'a', 'fait', 'perdre', ':', 'non', 'pas', 'tant', 'la', 'solidarité', 'poli¬', 'tique', '(', 'puisque', 'la', 'Belgique', 'nous', 'reste', 'fidèle', ',', 'puisque', 'l', ""'"", 'Italie', 'nous', 'garantit', 'sa', 'solidarité', 'morale', 'jusqu', ""'"", 'au', 'point', 'de', 'vou¬', 'loir', 'bien', 'participer', 'aux', 'profits', 'éventuels', 'de', 'notre', 'action', 'dans', 'la', 'Ruhr', ',', 'puisque', 'l', ""'"", 'Angleterre', 'elle', '-', 'même', 'proclame', 'que', 'le', '«', 'lien', 'élastique', '»', 'de', 'l', ""'"", 'Entente', 'n', ""'"", 'a', 'jamais', 'été', 'plus', 'serré', 'que', 'depuis', 'notre', 'désac¬', 'cord', 'cordial', ')', ',', 'que', 'la', 'solidarité', 'militaire', ',', 'les', 'soldats', 'belges', 'demeurant', 'seuls', 'à', 'nos', 'côtés', 'pour', 'pousser', 'cette', 'pointe', 'transrhénane', ',', 'et', 'surtout', 'la', 'solidarité', 'financière', '.', 'Ah', '!', 'celle', '-', 'ci', 'est', 'la', 'grande', 'affaire', '!', 'En', 'y', 'renonçant', ',', 'nous', 'avons', ',', 'momentanément', 'tout', 'au', 'moins', ',', 'sacrifié', 'l', ""'"", 'espoir', 'de', 'résoudre', 'par', 'une', 'vaste', 'opé¬', 'ration', 'de', 'crédit', 'international', 'le', 'problè¬', 'me', 'des', 'réparations', '.', 'Nous', 'nous', 'sommes', ',', 'en', 'effet', ',', 'détournés', 'des', 'deux', 'peuples', 'qui', 'détiennent', 'ou', 'l', ""'"", 'or', 'ou', 'les', 'bonnes', 'devises', ',', 'ceux', 'dont', 'le', 'concours', 'est', 'nécessaire', 'au', 'succès', 'd', ""'"", 'un', 'grand', 'emprunt', 'libératoire', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'O', 'O', 'O', 'O', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,8,"['Il', 'est', 'bien', 'clair', 'que', 'M', '.', 'Poincaré', 'envi¬', 'sage', 'une', 'compensation', 'sérieuse', 'à', 'cette', 'perte', ',', 'dont', 'l', ""'"", 'intérêt', 'ne', 'lui', 'a', 'pas', 'échap¬', 'pé', '.', 'Cette', 'compensation', ',', 'quelle', 'est', '-', 'elle', '?', 'Elle', 'ne', 'saurait', 'consister', 'uniquement', 'en', 'charbon', 'ou', 'en', 'poteaux', 'télégra¬', 'phiques', ':', 'on', 'ne', 'met', 'pas', 'trente', '-', 'cinq', 'mille', 'hommes', 'en', 'mouvement', 'pour', 'un', 'aussi', 'modeste', 'dessein', '.', 'D', ""'"", 'autant', 'qu', ""'"", 'il', 'faut', 'bien', 'prévoir', 'certaines', 'conséquen¬', 'ces', 'presque', 'inévitables', ',', 'telles', 'qu', ""'"", 'un', 'ren¬', 'grégement', 'd', ""'"", 'inflation', 'et', 'un', 'accroisse¬', 'ment', 'de', 'déficit', 'dans', 'le', 'budget', 'du', 'Reich', ',', 'circonstances', 'aussi', 'peu', 'favorables', 'au', 'paiement', 'en', 'espèces', 'que', 'même', 'aux', 'prestations', 'en', 'nature', '.', 'Il', 'n', ""'"", 'y', 'a', 'donc', 'pas', 'de', 'doute', ':', 'notre', 'gouvernement', 'doit', 'poursuivre', 'un', 'autre', 'but', ',', 'plus', 'substan¬', 'tiel', '.']","['O', 'O', 'O', 'O', 'O', 'E', 'E', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,9,"['Ce', 'but', ',', 'les', 'déclarations', 'dont', 'je', 'viens', 'd', ""'"", 'analyser', 'et', 'le', 'fond', 'et', 'le', 'ton', 'ne', 'per¬', 'mettent', '-', 'elles', 'pas', 'de', 'le', 'discerner', ',', 'sur¬', 'tout', 'si', 'on', 'les', 'rapproche', 'des', 'grands', 'pro¬', 'jets', 'qu', ""'"", 'esquisse', ',', 'de', 'son', 'côté', ',', 'M', '.', 'Musso¬', 'lini', '?', 'Sur', 'tous', 'les', 'airs', ',', 'on', 'nous', 'chante', 'que', 'la', 'diplomatie', 'française', 'a', 'remporté', 'une', 'grande', 'victoire', 'en', 'recouvrant', 'sa', 'liberté', 'd', ""'"", 'action', 'vis', '-', 'à', '-', 'vis', 'de', 'l', ""'"", 'Angleterre', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'E', 'E', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0]"
