,words,ner_c,ner_f
0,"['Verdrag', 'van', 'de', 'Verenigde', 'Naties', 'tegen', 'Corruptie', 'Dit', 'besluit', 'verleent', 'de', 'voorzitter', 'van', 'de', 'Raad', 'volmacht', 'om', 'de', 'personen', 'aan', 'te', 'duiden', ',', 'die', 'gemachtigd', 'zijn', 'om', 'het', 'Verdrag', 'van', 'de', 'Verenigde', 'Naties', 'tegen', 'corruptie', 'namens', 'de', 'Europese', 'Gemeenschap', 'te', 'ondertekenen', '.']","[0, 0, 0, 1, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0, 1, 2, 0, 0, 0]","['n', 'n', 'n', 'B-T', 'T', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'B-T', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n']"
1,"['Het', 'Verdrag', 'wil', 'de', 'doeltreffendheid', 'van', 'de', 'strijd', 'tegen', 'corruptie', 'vergroten', ',', 'een', 'correct', 'beheer', 'van', 'openbare', 'aangelegenheden', 'bevorderen', 'en', 'internationale', 'samenwerking', 'en', 'technische', 'bijstand', 'aanmoedigen', '.']","[0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
2,"['BESLUIT', 'Besluit', 'van', 'de', 'Raad', 'betreffende', 'de', 'sluiting', ',', 'namens', 'de', 'Europese', 'Gemeenschap', ',', 'van', 'het', 'Verdrag', 'van', 'de', 'Verenigde', 'Naties', 'tegen', 'corruptie', '.']","[1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0]","['B-T', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'B-T', 'n']"
3,"['SAMENVATTING', 'Op', 'de', 'conferentie', 'in', 'Merida', '(', 'Mexico', ')', 'van', '9', 'tot', '11', 'december', '2003', 'werd', 'het', 'Verdrag', 'van', 'de', 'Verenigde', 'Naties', 'tegen', 'corruptie', 'opengesteld', 'voor', 'ondertekening', '.']","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 0]","['n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'B-T', 'n', 'n', 'n', 'n']"
4,"['Op', 'zijn', '2658e', 'zitting', 'op', '10', 'mei', '2005', 'nam', 'de', 'Raad', 'het', 'voorstel', 'van', 'de', 'Commissie', 'betreffende', 'de', 'sluiting', 'van', 'het', 'Verdrag', 'aan', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
5,"['Het', 'besluit', 'verleent', 'de', 'voorzitter', 'van', 'de', 'Raad', 'volmacht', 'om', 'de', 'personen', 'aan', 'te', 'duiden', ',', 'die', 'gemachtigd', 'zijn', 'om', 'het', 'Verdrag', 'van', 'de', 'Verenigde', 'Naties', 'tegen', 'corruptie', 'namens', 'de', 'Europese', 'Gemeenschap', 'te', 'ondertekenen', '.']","[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0, 1, 2, 0, 0, 0]","['n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'B-T', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n']"
6,"['Op', '15', 'september', '2005', 'ondertekenden', 'de', 'Europese', 'Commissie', 'en', 'het', 'voorzitterschap', 'van', 'de', 'Raad', 'het', 'Verdrag', 'namens', 'de', 'Europese', 'Gemeenschap', '.']","[0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0]","['n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n']"
7,"['Het', 'Verdrag', ',', 'intussen', 'het', 'Verdrag', 'van', 'Merida', 'genoemd', ',', 'werd', 'op', '31', 'oktober', '2003', 'door', 'de', 'Algemene', 'Vergadering', 'van', 'de', 'VN', 'aangenomen', '(', 'Resolutie', '58', '/', '4', ')', 'en', 'werd', 'tot', '9', 'december', '2005', 'opengesteld', 'voor', 'ondertekening', '.']","[0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
8,"['Opstelling', 'van', 'een', 'doeltreffend', 'instrument', 'tegen', 'corruptie', 'In', 'december', '2000', 'besliste', 'de', 'Algemene', 'Vergadering', 'van', 'de', 'VN', 'om', 'een', 'speciaal', 'comité', 'op', 'te', 'richten', ',', 'waaraan', 'alle', 'landen', 'konden', 'deelnemen', ',', 'voor', 'de', 'opstelling', 'van', 'een', 'doeltreffend', 'internationaal', 'rechtsinstrument', 'tegen', 'corruptie', '(', 'Resolutie', '55', '/', '61', ')', '.']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]","['n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n']"
9,"['Het', 'comité', 'onderhandelde', 'over', 'het', 'Verdrag', 'van', 'januari', '2002', 'tot', 'oktober', '2003', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
