TOKEN,NE-COARSE-LIT,NE-COARSE-METO,NE-FINE-LIT,NE-FINE-METO,NE-FINE-COMP,NE-NESTED,NEL-LIT,NEL-METO,MISC
Celui,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
-,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
ci,B-ORG,_,O,_,_,O,_,_,_
me,B-ORG,_,O,_,_,O,_,_,_
verse,B-ORG,_,O,_,_,O,_,_,_
un,B-ORG,_,O,_,_,O,_,_,_
petit,I-PER,_,O,_,_,O,_,_,_
vin,B-ORG,_,O,_,_,O,_,_,_
rouge,I-PER,_,O,_,_,O,_,_,_
con¬,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter|EndOfLine
tenu,B-HumanProd,_,O,_,_,O,_,_,_
dans,B-HumanProd,_,O,_,_,O,_,_,_
une,I-PER,_,O,_,_,O,_,_,_
bouteille,O,_,O,_,_,O,_,_,_
dont,O,_,O,_,_,O,_,_,_
le,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
s,I-ORG,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
adorne,B-HumanProd,_,O,_,_,O,_,_,_
d,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
un,I-PER,_,O,_,_,O,_,_,_
cachet,I-ORG,_,O,_,_,O,_,_,_
qui,B-HumanProd,_,O,_,_,O,_,_,_
semble,B-ORG,_,O,_,_,O,_,_,_
suspect,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
comme,I-PER,_,O,_,_,O,_,_,_
une,I-PER,_,O,_,_,O,_,_,_
décoration,B-HumanProd,_,O,_,_,O,_,_,_
sur,O,_,O,_,_,O,_,_,_
un,B-ORG,_,O,_,_,O,_,_,_
monsieur,I-ORG,_,O,_,_,O,_,_,NoSpaceAfter
aux,I-PER,_,O,_,_,O,_,_,_
doigts,O,_,O,_,_,O,_,_,_
chargés,B-ORG,_,O,_,_,O,_,_,_
de,I-PER,_,O,_,_,O,_,_,_
trop,I-PER,_,O,_,_,O,_,_,_
de,O,_,O,_,_,O,_,_,_
bagues,B-HumanProd,_,O,_,_,O,_,_,NoSpaceAfter
.,B-HumanProd,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
—,B-ORG,_,O,_,_,O,_,_,_
C,O,_,O,_,_,O,_,_,NoSpaceAfter
',O,_,O,_,_,O,_,_,NoSpaceAfter
est,O,_,O,_,_,O,_,_,_
deux,I-PER,_,O,_,_,O,_,_,_
francs,I-PER,_,O,_,_,O,_,_,_
!,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
Ce,O,_,O,_,_,O,_,_,_
vin,I-ORG,_,O,_,_,O,_,_,_
m,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
',B-HumanProd,_,O,_,_,O,_,_,NoSpaceAfter
a,I-PER,_,O,_,_,O,_,_,_
mis,O,_,O,_,_,O,_,_,_
en,O,_,O,_,_,O,_,_,_
goût,I-ORG,_,O,_,_,O,_,_,NoSpaceAfter
.,O,_,O,_,_,O,_,_,_
Je,O,_,O,_,_,O,_,_,_
m,O,_,O,_,_,O,_,_,NoSpaceAfter
',B-HumanProd,_,O,_,_,O,_,_,NoSpaceAfter
asse,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
maintenant,I-PER,_,O,_,_,O,_,_,_
dans,I-ORG,_,O,_,_,O,_,_,_
ce,I-PER,_,O,_,_,O,_,_,_
café,I-PER,_,O,_,_,O,_,_,_
des,I-PER,_,O,_,_,O,_,_,_
boulevards,O,_,O,_,_,O,_,_,NoSpaceAfter
où,B-HumanProd,_,O,_,_,O,_,_,_
Ernest,I-ORG,_,O,_,_,O,Q3732124,_,_
la,O,_,O,_,_,O,Q3732124,_,_
