,words,ner_c,ner_f
0,"['Đồng', 'thời', ',', 'bệnh', 'viện', 'tiếp', 'tục', 'thực', 'hiện', 'các', 'biện', 'pháp', 'phòng', 'chống', 'dịch', 'bệnh', 'COVID', '-', '19', 'theo', 'hướng', 'dẫn', 'của', 'Bộ', 'Y', 'tế', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 14, 14, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 14, 14, 0]"
1,"['""', 'Số', 'bệnh', 'viện', 'có', 'thể', 'tiếp', 'nhận', 'bệnh', 'nhân', 'bị', 'sốt', 'cao', 'và', 'khó', 'thở', 'đang', 'giảm', 'dần', '""', ',', 'thông', 'cáo', 'có', 'đoạn', ',', 'cảnh', 'báo', 'những', 'bệnh', 'nhân', 'này', 'thay', 'vào', 'đó', 'được', 'chuyển', 'tới', 'các', 'phòng', 'khám', 'khẩn', 'cấp', ',', 'khiến', 'những', 'bệnh', 'nhân', 'mắc', 'bệnh', 'hiểm', 'nghèo', 'khác', 'không', 'có', 'cơ', 'hội', 'được', 'điều', 'trị', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 18, 0, 17, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 18, 0, 17, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,"['Ngoài', 'ra', ',', 'những', 'người', 'tiếp', 'xúc', 'gián', 'tiếp', '(', 'đã', 'gặp', 'những', 'người', 'tiếp', 'xúc', 'gần', 'với', 'bệnh', 'nhân', ')', 'được', 'lập', 'danh', 'sách', 'và', 'yêu', 'cầu', 'cách', 'ly', 'y', 'tế', 'tại', 'nơi', 'ở', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,"['Bà', 'này', 'khi', 'trở', 'về', 'quá', 'cảnh', 'Doha', '(', 'Qatar', ')', ',', 'đáp', 'xuống', 'Tân', 'Sơn', 'Nhất', 'sáng', '2/3', 'cùng', '75', 'hành', 'khách', ',', 'trong', 'đó', 'có', '55', 'người', 'nước', 'ngoài', '.']","[0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 0, 0, 0, 0, 9, 10, 10, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 0, 0, 0, 0, 9, 10, 10, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,"['""', 'Bệnh', 'nhân', '523', '""', 'và', 'chồng', 'là', '""', 'bệnh', 'nhân', '522', '""', ',', '67', 'tuổi', ',', 'được', 'Bộ', 'Y', 'tế', 'ghi', 'nhận', 'nhiễm', 'nCoV', 'hôm', '31/7', '.']","[0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 0, 0, 0, 13, 14, 14, 0, 0, 0, 0, 0, 3, 0]","[0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 0, 0, 0, 13, 14, 14, 0, 0, 0, 0, 0, 3, 0]"
5,"['Trường', 'hợp', 'bệnh', 'nhân', '188', 'L.T.H.', ',', 'theo', 'thông', 'tin', 'từ', 'cơ', 'quan', 'y', 'tế', 'địa', 'phương', ',', 'bệnh', 'nhân', 'về', 'nhà', 'ngày', '14', '-', '4', 'và', 'từ', 'đó', 'chỉ', 'tiếp', 'xúc', 'với', 'chồng', 'và', 'con', ',', 'đây', 'không', 'phải', 'là', 'tái', 'nhiễm', 'mà', 'do', 'có', 'thể', 'virus', 'yếu', 'ở', 'thời', 'điểm', 'lấy', 'mẫu', 'lần', 'trước', ',', 'hoặc', 'vị', 'trí', 'lấy', 'mẫu', ',', 'thời', 'điểm', 'lấy', 'mẫu', 'dẫn', 'đến', 'âm', 'tính', 'giả', '.']","[0, 0, 0, 0, 15, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 15, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,"['Riêng', 'bệnh', 'nhân', '91', 'là', 'phi', 'công', 'người', 'Anh', 'ngụ', 'ở', 'quận', '2', ',', 'TP.', 'HCM', 'và', 'có', 'liên', 'quan', 'ổ', 'dịch', 'quán', 'bar', 'Buddha', ',', 'thông', 'tin', 'cập', 'nhật', 'ngày', '10', '-', '4', 'cho', 'biết', 'diễn', 'biến', 'bệnh', 'của', 'bệnh', 'nhân', 'không', 'xấu', 'hơn', 'nhưng', 'cũng', 'chưa', 'có', 'dấu', 'hiệu', 'hồi', 'phục', '.']","[0, 0, 0, 15, 0, 7, 8, 0, 0, 0, 0, 9, 10, 0, 9, 10, 0, 0, 0, 0, 0, 0, 9, 10, 10, 0, 0, 0, 0, 0, 0, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 15, 0, 7, 8, 0, 0, 0, 0, 9, 10, 0, 9, 10, 0, 0, 0, 0, 0, 0, 9, 10, 10, 0, 0, 0, 0, 0, 0, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,"['Bệnh', 'nhân', 'đã', 'được', 'xét', 'nghiệm', 'có', '3', 'kết', 'quả', 'âm', 'tính', 'vào', 'các', 'ngày', '19', ',', '21', 'và', '23', '-', '8', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 3, 4, 4, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 3, 4, 4, 0]"
8,"['Bà', 'đã', 'tiếp', 'xúc', 'với', 'người', 'thân', 'xác', 'định', 'mắc', 'Covid', '-', '19', 'trước', 'khi', 'về', 'Việt', 'Nam', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 0]"
9,"['Chiều', '22', '-', '4', ',', 'bệnh', 'nhân', 'được', 'cho', 'về', 'theo', 'dõi', 'cách', 'ly', 'tại', 'nhà', '.']","[0, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
