,words,ner_c,ner_f
0,"['Dressuur', 'De', 'dressuur', 'is', 'de', 'gymnastische', 'basis', 'van', 'de', 'paardensport', '.']","['B-T', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'n']","['B-T', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'n']"
1,"['Dressuur', 'betekent', 'eigenlijk', 'het', 'gymnastiseren', 'en', 'het', 'gehoorzaam', 'maken', 'van', 'het', 'paard', 'door', 'de', 'ruiter', '.']","['B-T', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n']","['B-T', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n']"
2,"['Daarmee', 'is', 'het', 'de', 'basis', 'van', 'alle', 'andere', 'ruitersporten', '–', 'maar', 'dressuur', 'in', 'zichzelf', 'kan', 'ook', 'zeer', 'de', 'moeite', 'van', 'het', 'beoefenen', 'waard', 'zijn', '.']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
3,"['Training', 'Een', 'paard', 'is', 'in', 'eerste', 'instantie', 'niet', 'gebouwd', 'om', 'een', 'mens', 'te', 'dragen', 'en', 'de', 'ruiter', 'dient', 'daarom', 'als', 'een', 'van', 'de', 'eerste', 'dingen', 'te', 'leren', 'onafhankelijk', 'in', 'balans', 'te', 'zitten', ',', 'de', 'bewegingen', 'van', 'het', 'paard', 'te', 'volgen', 'en', 'zijn', 'hulpen', 'onafhankelijk', 'van', 'elkaar', 'te', 'geven', '.']","['B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n']","['B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n']"
4,"['Dat', 'wil', 'zeggen', 'dat', 'de', 'ruiter', 'zijn', 'spieren', 'afzonderlijk', 'van', 'elkaar', 'leert', 'gebruiken', 'en', 'het', 'paard', 'niet', 'stoort', 'in', 'zijn', 'bewegingen', '.']","['n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n']","['n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n']"
5,"['Vervolgens', 'is', 'het', 'de', 'bedoeling', 'dat', 'het', 'paard', 'leert', 'zijn', 'lijf', 'fysiek', 'zo', 'correct', 'mogelijk', 'te', 'gebruiken', 'en', 'daarbij', 'plezier', 'in', 'zijn', '&apos;', 'werk', '&apos;', 'heeft', '.']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
6,"['In', 'de', 'training', 'maakt', 'men', 'gebruik', 'van', 'de', 'natuurlijke', 'bewegingen', 'van', 'het', 'paard', 'en', 'zijn', 'instinct', 'waaronder', 'zijn', 'kuddegedrag', '(', 'de', 'ruiter', 'wordt', 'de', 'leider', 'en', 'het', 'paard', 'volgt', ')', 'en', 'vluchtgedrag', '(', 'het', 'snel', 'maken', 'aan', 'de', 'ruiters', 'beenhulpen', 'leert', 'men', 'het', 'paard', 'in', 'eerste', 'instantie', 'het', 'paard', 'te', 'laten', '&apos;', 'vluchten', '&apos;', 'voor', 'de', 'ruiters', 'been', ')', ',', 'enzovoort', '.']","['n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'B-T', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'B-T', 'n', 'n', 'n', 'n']","['n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'B-T', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'B-T', 'n', 'n', 'n', 'n']"
7,"['Doelstellingen', 'volgens', 'het', 'Skala', 'der', 'Ausbildung', '(', 'Klassieke', 'dressuur', ')', 'Takt', ':', 'elke', 'pas', 'wordt', 'met', 'dezelfde', 'kracht', ',', 'regelmaat', 'en', 'afdruk', 'gemaakt', '(', 'simpel', 'gezegd', ':', 'alle', 'passen', 'zijn', 'gelijk', 'in', 'hetzelfde', 'ritme', ')', 'Ontspanning', ':', 'het', 'paard', 'ontspant', 'zichzelf', 'zowel', 'mentaal', 'als', 'fysiek', '.']","['n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'B-T', 'T', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'B-T', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n']","['n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'B-T', 'T', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'B-T', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n']"
8,"['Aanleuning', ':', 'een', 'constante', ',', 'ontspannen', 'verbinding', 'van', 'de', 'achterhand', 'naar', 'de', 'voorhand', 'van', 'het', 'paard', ',', 'terug', 'naar', 'de', 'hand', 'van', 'de', 'ruiter', '(', 'simpel', 'gezegd', ':', 'het', 'paard', 'geeft', 'de', 'ruiter', 'aan', 'beide', 'teugels', 'dezelfde', ',', 'ontspannen', 'verbinding', 'en', 'volgt', 'te', 'allen', 'tijde', 'de', 'hand', 'van', 'de', 'ruiter', ')', '.']","['B-T', 'n', 'n', 'n', 'n', 'B-T', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n']","['B-T', 'n', 'n', 'n', 'n', 'B-T', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n']"
9,"['Impuls', ':', 'de', 'voorwaartse', 'drang', 'van', 'het', 'paard', ',', 'opgewekt', 'én', 'gecontroleerd', 'door', 'de', 'ruiter', '(', 'simpel', 'gezegd', ':', 'het', 'paard', 'geeft', 'de', 'ruiter', 'elke', 'pas', 'het', 'gevoel', 'uit', 'zichzelf', 'voorwaarts', 'te', 'willen', 'in', 'het', 'tempo', 'dat', 'de', 'ruiter', 'aangeeft', ')', '.']","['B-T', 'n', 'n', 'B-T', 'T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n']","['B-T', 'n', 'n', 'B-T', 'T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n']"
