,words,ner_c,ner_f
0,"['dont', 'parle', 'Sophocle', 'n', '’', 'ont', 'pas', 'troullé', 'la', 'Taison', 'd', ""'"", 'Ajax', ';', 'clles', 'ont', 'seulement', 'abusé', 'ses', 'yeux', ';', 'ce', 'n', ""'"", 'est', 'pas', 'lui', ',', 'à', 'proprement', 'parler', ',', 'c', '’', 'est', 'sa', 'vue', 'qui', 'a', 'mal', 'jugé', ':', 'èn', 'ppuass', 'détermine', 'en', 'ce', 'sens', 'la', 'pensée', 'du', 'poëte', '.', 'Voy', '.', 'la', 'note', 'sur', 'le', 'vers', '345', '.']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0]"
1,"['—', '52', '.', 'T', ';', 'évnxéctou', 'yapæ', ':', '.', 'Scholiaste', ':', 'Τὸ', 'ἑξῆς""', 'Ἐγώ', 'σφ᾽', 'ἀπείργω', 'τῆς', 'ἀνηχέ', '-', 'στον', 'γαρᾶς', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,"['δ8', '-', 'δ4', ',', 'Σύμμιχτά', 'τε', '.', '.', '.', '.', 'φρονρήματα', 'équivaut', 'ἃ', 'χαὶ', 'πρὸς', 'τὴν', 'σύμμιχτον', 'καὶ', 'ἄδαστον', 'λείαν', ',', 'ὑπὸ', 'τῶν', 'βουχόλων', 'φρου', '-', 'ρουμένην', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,"['δῦ', ',', '""Exerpe', 'ToXuxepov', '.', 'Allitéèration', '(', 'comme', 'peut', '-', 'être', 'plus', 'haut', ',', '30', ':', 'πηδῶντα', 'æesia', ')', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]"
4,"['D', ""'"", 'ailleurs', 'Execpe', 'qOvoy', 'rappelle', 'τρώσῃς', 'Gôvov', '(', 'Furipide', ',', 'Suppliantes', ',', '4305', ')', ',', 'οἱ', 'πολύχερων', 'φόνον', 'N', '’', 'est', 'pas', 'plas', 'hardi', '6', 'τετρατκελῆ', 'χενταυροπληθὴ', 'πό', '-', 'λεμον', '(', 'Euripide', ',', 'fercule', 'ſurieuæ', ',', '4272', ')', ',', 'ni', 'que', 'ynyevh', 'paynv', '(', 'le', 'même', ',', 'ſon', ',', '987', ',', 'et', 'Cyclope', ',', 'b', ')', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 4, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 5, 0, 0, 3, 0, 5, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 17, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 17, 18, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 5, 0, 0, 17, 0, 5, 0, 0]"
5,"['(', 'Schneidewin', 'et', 'di', '-', 'vers', '.', ']']","[0, 1, 0, 0, 0, 0, 0, 0]","[0, 7, 0, 0, 0, 0, 0, 0]"
6,"['56', '.', '“', 'Pxyitr', '-', 'v', '.', 'Seholiaste', ':', 'Ataxôxteov®', 'διὰ', 'τὸ', 'τὴν', 'πρώτην', 'καὶ', 'μεγάλην', 'διακοπὴν', 'χατὰ', 'ῥάχιν', 'γίνεσθαι', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,"['57', '.', '""Eywv', '.', 'Les', 'participes', 'formant', 'iambe', ',', 'comme', 'Eywv', ',', 'napoy', ',', 'po', ')', 'wv', ',', 'ἰών', ',', 'com', '-', 'plètent', 'souvent', ',', 'chez', 'les', 'tragiques', ',', 'la', 'phrase', 'ou', 'le', 'vers', ',', 'sans', 'ajouter', 'rien', 'd', '’', 'indispensable', 'au', 'sens', ',']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,"['58', '.', '""Ot', '’', '.', 'Il', 'faut', 'suppléer', 'devant', 'ce', 'se', '-', 'cond', 'ôte', ',', 'Ea6*', 'exprimé', 'devant', 'le', 'premier', ',', 'et', 'interprêter', ':', 'D', ""'"", 'autres', 'fois', 'tantôt', 'l', '’', 'an', ',', 'tantôt', 'l', '’', 'autre', '(', 'les', 'Atrides', 'exceptés', ')', 'des', 'chefs', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,"['59', '.', '’', 'Eyd&', 'Bé', ',', 'or', 'c', '’', 'est', 'moi', 'qui', '.', '—', 'Œor', '-', 'tüvræ', '.', 'Ooirõv', ',', 'c', '’', 'est', 'revenir', 'à', 'plusieure', 'reprises', 'au', 'même', 'endroit', ':', 'l', ""'"", 'équivalent', 'français', 'est', 'souvont', '/réquenter', ';', 'souvent', ',', 'comme', 'en', 'cet', 'endroit', ',', 'errer', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
