,words,ner_c,ner_f
0,"['Lauantaina', 'Syyskuun', '20', 'p:nä', 'UUSI', 'SUOMETAR', '1913', '—', 'N:o', '219', '—', '7', 'Flyygeliä', 'ja', 'Pianiinoja', 'maailmankuuluisista', 'tehtaista', 'Rönisch', ',', 'Steinweg', '&', 'Ritter', 'Amerikkalaisia', 'URKUHARMOONEJA', 'Estey', 'Organ', 'C:o', 'mainiota', 'tekoa', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"['Huom', '!', 'Luetteloja', 'vapaasti', '!', 'Helsingin', 'Uusi', 'Musiikkikauppa', 'K', '.', 'G', '.', 'FAZER', 'Aleksanterink', '.', '38', '.', 'Puhelin', '14', '31', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,"['18170', 'Venäjältä', '.']","[0, 5, 0]","[0, 5, 0]"
3,"['Pääministeri', 'Kokovtsov', 'eroaa', '?', '»', 'Golos', 'Moskvy', '»', 'kirjoittaa:', 'Täysin', 'luotettavista', 'lähteistä', 'on', 'meille', 'kerrottu', 'suurista', 'muutoksista', ',', 'jotka', 'pikaisessa', 'tulevaisuudessa', 'tu', '-', 'levat', 'tapahtumaan', 'korkeimmissa', 'hallituspiireissä', '.']","[1, 2, 0, 0, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 0, 0, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,"['Huhujen', 'mukaan', 'on', 'ministerineu', '-', 'voston', 'puheenjohtajan', 'V', '.', 'N', '.', 'Ko', '-', 'kovtsovin', 'ero', 'lopullisesti', 'päätetty', ',', 'jonka', 'ohessa', 'mainitaan', ',', 'ettei', 'alote', 'ole', 'lähtöisin', 'ministeristä', 'itsestään', '.']","[0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,"['Kuten', 'kerrotaan', ',', 'on', 'V', '.', 'N', '.', 'Kokovt', '-', 'sovin', 'matka', 'Kijeviin', 'hänen', 'viimei', '-', 'nen', 'askeleensa', 'ministerineuvoston', 'puheenjahtajan', 'asemassa', ',', 'ja', 'Kijevis', '-', 'tä', 'paiattuaan', 'luopuu', 'hän', 'toimistaan', '.']","[0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 0, 0, 0, 0, 0]"
6,"['V', '.', 'N', '.', 'Kokovtsovin', 'seuraajana', 'mai', '-', 'nitaan', 'varmasti', 'A', '.', 'V', '.', 'Krivo', '-', 'shein', 'ja', 'hänen', 'äskeinen', 'matkan', '-', 'sa', 'Livadiaan', 'asetetaan', 'välittömään', 'yhteyteen', 'hänen', 'uuden', 'nimittämi', '-', 'sensä', 'kanssa', '.']","[1, 2, 2, 2, 2, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 2, 2, 2, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,"['V', '.', 'N', '.', 'Kokovtsovin', 'jälestä', ',', 'huhujen', 'mukaan', ',', 'jättää', 'paikkansa', 'myöskin', 'sisäasiainministeri', 'N', '.', 'A', '.', 'Makla', '-', 'kov', '.']","[1, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 0]","[1, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 0]"
8,"['Kuten', 'edelleen', 'kerrotaan', ',', 'on', 'ai', '-', 'noana', 'esteenä', 'jälkimäiseen', 'eroon', 'Maklakovin', 'edelleen', 'nimittäminen', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
9,"['Lyhyt', 'ministeriura', 'ja', 'nuori', 'ikä', 'teke', '-', 'vät', 'mahdottomaksi', 'N', '.', 'A', '.', 'Maklakov', '-', 'in', 'nimittämisen', 'valtakunnanneuvos', '-', 'toon', 'ja', 'entisen', 'ministerin', 'nimittämi', '-', 'nen', 'senaattiin', 'olisi', 'alentamista', 'ar', '-', 'vossa', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
