words,ner_c,ner_f
"['United', 'Nations', 'Convention', 'against', 'Corruption', 'This', 'Decision', 'authorises', 'the', 'President', 'of', 'the', 'Council', 'to', 'designate', 'the', 'persons', 'empowered', 'to', 'sign', 'the', 'United', 'Nations', 'Convention', 'against', 'Corruption', 'on', 'behalf', 'of', 'the', 'European', 'Community', '.']","['B-T', 'T', 'T', 'T', 'T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'T', 'T', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n']","['B-T', 'T', 'T', 'T', 'T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'T', 'T', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n']"
"['The', 'Convention', 'aims', 'to', 'boost', 'the', 'effectiveness', 'of', 'the', 'fight', 'against', 'corruption', ',', 'promote', 'the', 'proper', 'management', 'of', 'public', 'affairs', 'and', 'encourage', 'international', 'cooperation', 'and', 'technical', 'assistance', '.']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
"['ACT', 'Council', 'Decision', 'on', 'the', 'signing', ',', 'on', 'behalf', 'of', 'the', 'European', 'Community', ',', 'of', 'the', 'United', 'Nations', 'Convention', 'against', 'Corruption', '.']","['n', 'B-T', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'B-T', 'T', 'T', 'T', 'T', 'n']","['n', 'B-T', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'B-T', 'T', 'T', 'T', 'T', 'n']"
"['SUMMARY', 'At', 'the', 'conference', 'held', 'in', 'Merida', '(', 'Mexico', ')', 'from', '9', 'to', '11', 'December', '2003', ',', 'the', 'United', 'Nations', 'Convention', 'against', 'Corruption', 'was', 'opened', 'for', 'signing', '.']","['n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'T', 'T', 'n', 'n', 'n', 'n', 'n']","['n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'T', 'T', 'n', 'n', 'n', 'n', 'n']"
"['At', 'its', '2658th', 'session', 'on', '10', 'May', '2005', ',', 'the', 'Council', 'adopted', 'the', 'Commission', 'proposal', 'concerning', 'the', 'signing', 'of', 'the', 'Convention', '.']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
"['The', 'Decision', 'authorises', 'the', 'President', 'of', 'the', 'Council', 'to', 'designate', 'the', 'persons', 'empowered', 'to', 'sign', 'the', 'United', 'Nations', 'Convention', 'on', 'behalf', 'of', 'the', 'European', 'Community', '.']","['n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n']","['n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n']"
"['On', '15', 'September', '2005', ',', 'the', 'European', 'Commission', 'and', 'the', 'Council', 'Presidency', 'signed', 'the', 'Convention', 'on', 'behalf', 'of', 'the', 'European', 'Community', '.']","['n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n']","['n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n']"
"['The', 'Convention', ',', 'now', 'known', 'as', 'the', 'Merida', 'Convention', ',', 'was', 'adopted', 'by', 'the', 'UN', 'General', 'Assembly', 'on', '31', 'October', '2003', '(', 'Resolution', '58', '/', '4', ')', 'and', 'was', 'open', 'for', 'signing', 'until', '9', 'December', '2005', '.']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
"['Producing', 'an', 'effective', 'instrument', 'against', 'corruption', 'In', 'December', '2000', ',', 'the', 'UN', 'General', 'Assembly', 'decided', 'to', 'establish', 'a', 'special', 'committee', 'open', 'to', 'all', 'States', 'for', 'drawing', 'up', 'an', 'effective', 'international', 'legal', 'instrument', 'against', 'corruption', '(', 'Resolution', '55', '/', '61', ')', '.']","['n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n']","['n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n']"
"['The', 'committee', 'negotiated', 'the', 'Convention', 'between', 'January', '2002', 'and', 'October', '2003', '.']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
"['The', 'Commission', 'represented', 'the', 'European', 'Community', '&apos;s', 'interests', '.']","['n', 'B-T', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n']","['n', 'B-T', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n']"
"['The', 'Commission', 'considers', 'that', 'the', 'objectives', 'set', 'by', 'the', 'Council', 'in', 'its', 'negotiating', 'directives', 'have', 'been', 'attained', '.']","['n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n']","['n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n']"
"['The', 'Convention', 'provides', 'for', 'a', 'high', 'standard', 'of', 'preventive', 'and', 'technical', 'assistance', 'measures', 'in', 'matters', 'within', 'the', 'Community', '&apos;s', 'powers', ',', 'in', 'particular', 'with', 'regard', 'to', 'the', 'internal', 'market', '.']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n']"
"['This', 'includes', 'measures', 'to', 'prevent', 'and', 'to', 'combat', 'money', 'laundering', ',', 'as', 'well', 'as', 'standards', 'on', 'accounting', 'in', 'the', 'private', 'sector', 'and', 'on', 'transparency', 'and', 'equal', 'access', 'of', 'all', 'candidates', 'for', 'public', 'works', 'supply', 'and', 'service', 'contracts', '.']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'n', 'B-T', 'T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'B-T', 'n']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'n', 'B-T', 'T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'B-T', 'n']"
"['As', 'the', 'Member', 'States', 'stated', 'that', 'they', 'would', 'sign', 'the', 'Convention', 'as', 'soon', 'as', 'it', 'was', 'opened', 'for', 'signing', 'in', 'Merida', ',', 'Mexico', '(', 'Spain', 'alone', 'of', 'the', 'EU15', 'not', 'having', 'done', 'so', ')', ',', 'the', 'Commission', 'asserts', 'that', 'the', 'European', 'Community', 'should', 'also', 'do', 'so', '.']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n']"
"['To', 'that', 'end', ',', 'the', 'Commission', 'proposed', 'that', 'the', 'Presidency', 'of', 'the', 'Council', 'designate', 'the', 'persons', 'empowered', 'to', 'sign', 'the', 'Convention', 'on', 'behalf', 'of', 'the', 'European', 'Community', '.']","['n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n']","['n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n']"
"['The', 'Council', 'adopted', 'the', 'Commission', 'proposal', 'without', 'debate', '.']","['n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n']","['n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n']"
"['Fighting', 'corruption', ':', 'the', 'UN', 'Convention', 'The', 'purposes', 'of', 'the', 'Convention', 'are', 'to', ':', 'promote', 'and', 'strengthen', 'measures', 'to', 'prevent', 'and', 'combat', 'corruption', 'more', 'efficiently', 'and', 'effectively', ';', 'promote', ',', 'facilitate', 'and', 'support', 'international', 'cooperation', 'and', 'technical', 'assistance', ';', 'promote', 'integrity', ',', 'accountability', 'and', 'proper', 'management', 'of', 'public', 'affairs', 'and', 'public', 'property', '.']","['B-T', 'T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'B-T', 'T', 'n']","['B-T', 'T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'B-T', 'T', 'n']"
"['It', 'applies', 'to', 'the', 'prevention', ',', 'investigation', 'and', 'prosecution', 'of', 'corruption', 'and', 'to', 'the', 'freezing', ',', 'seizure', ',', 'confiscation', 'and', 'return', 'of', 'the', 'proceeds', 'of', 'offences', '.']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n']"
